????? ??????,????? ?????,"????? ""??????? ?????"" ""абонент занят""",????? ??????? ? m ??? ??????? ?? ???,????? ????????? ? N? ??? ??????? ?? ???,??????? ????? ???????? ?????????,???
1,7,7,"6: 3,5,7,15,19",1:11,406.425,51.951
2,10,12,"5: 3,14,17,19",0:00,358.735,36.876
3,15,11,"10: 5,11,12,13,14,16,18,19",1:03,417.244,96.704
4,11,11,"4: 2,16,18",1:04,364.832,33.187
5,9,16,"4: 1,9,13,18",1:18,381.62,33.172
6,12,10,"7: 1,2,5,9,16",1:00,437.92,63.514
7,8,7,"3: 2,6,13",1:16,381.02,28.596
8,6,11,"3: 3,13,18",0:00,331.688,25.611
9,10,4,"4: 0,3,4,17",1:10,406.27,25.65
10,3,13,"7: 2,4,8,11,16,18",1:12,420.225,61.303
11,5,14,"4: 1,8,14,16",1:09,384.405,35.805
12,16,9,"6: 2,5,8,13,14,16",1:00,385.55,58.678
13,10,6,"3: 7,10,15",1:14,364.521,35.534
14,13,18,"4: 1,13,17,19",1:04,368.303,27.157
15,7,15,"3: 0,3,16",1:16,384.515,17.173
16,11,9,"5: 4,8,13,14,19",0:00,355.562,47.165
17,15,13,1:19,0:00,294.539,6.482
18,7,10,"5: 4,9,11,17",1:00,375.021,50.942
19,12,8,"5: 1,6,11,13,18",0:00,368.975,43.866
20,7,5,"3: 1,9,19",1:13,368.901,19.559
21,13,8,"4: 0,4,12,18",0:00,361.509,26.636
22,11,12,"5: 1,5,14,18",1:07,408.289,40.14
23,11,14,"6: 2,6,9,12",1:02,436.829,68.186
24,7,10,"3: 2,6,7",1:02,390.14,31.903
25,6,10,"2: 10,18",0:00,310.679,20.584
26,7,6,"4: 3,7,16,19",0:00,344.842,31.162
27,15,9,"10: 1,2,3,8,10,14,15,17,19",0:00,457.345,73.618
28,12,13,"3: 2,7,16",1:07,375.455,26.324
29,4,5,"4: 2,16,19",1:00,328.281,24.301
30,11,9,"4: 3,12,18",0:00,336.114,32.199
31,7,3,"2: 3,12",0:00,329.688,20.869
32,11,7,"2: 1,13",1:02,361.576,16.346
33,5,13,"2: 0,8",0:00,340.779,14.89
34,10,7,"3: 0,11,12",1:16,378.055,28.782
35,7,12,1:14,1:08,331.941,13.42
36,12,8,"2: 4,7",0:00,336.063,24.046
37,16,8,"2: 11,19",1:14,337.804,17.517
38,7,12,"4: 1,9",0:00,382.63,35.429
39,10,14,"4: 4,11,13,16",1:11,376.999,42.908
40,3,13,"6: 3,8,11,15",1:08,408.247,66.187
41,5,15,"6: 0,2,3,8,13,18",1:08,436.827,41.861
42,6,14,"4: 6,7,10,17",1:02,382.905,43.764
43,9,17,"6: 2,4,8,11,15",0:00,390.46,59.026
44,8,7,"4: 7,11,16,18",0:00,334.448,39.637
45,14,11,0:00,1:15,323.014,1.018
46,12,16,"5: 10,12,14,16,18",0:00,338.076,54.356
47,12,14,"6: 0,4,12,15,17,18",1:08,403.946,45.06
48,13,6,"2: 2,6",0:00,340.436,20.162
49,7,12,"4: 6,7,9,13",1:14,390.3,49.379
50,2,14,"3: 3,10,15",1:16,370.919,30.392
?????:,467,528,205,32,372.01734,36.78054
